Views,DownVotes,UpVotes,Reputation,DaysSinceCreation,DaysSinceAccess
1,0,1,101.0,769,752
10,0,3,128.0,904,892
17,0,0,106.0,904,880
1,0,0,6.0,904,903
0,0,0,11.0,904,903
3,0,4,101.0,769,117
1,0,0,1.0,904,903
1,0,0,8.0,136,116
0,0,0,1.0,136,136
0,0,0,1.0,136,136
6,0,0,11.0,136,122
18,0,0,26.0,136,127
1,0,0,4.0,136,136
2,0,0,1.0,136,136
0,0,0,1.0,136,136
10,6,7,335.0,136,111
0,0,0,1.0,136,136
154,11,94,552.0,436,266
12,0,0,176.0,484,414
2,0,0,11.0,307,296
3,0,5,103.0,1712,138
0,0,0,101.0,198,198
1,0,0,121.0,198,197
0,0,0,1.0,198,198
1,0,0,26.0,198,198
0,0,0,1.0,198,192
0,0,0,1.0,198,198
1,0,0,1.0,198,198
0,0,0,1.0,198,198
5,0,0,1.0,198,129
4,0,0,3.0,198,198
2,0,1,23.0,247,177
2,0,0,6.0,293,293
18,0,0,41.0,1349,1349
0,0,0,1.0,1349,506
1,0,0,11.0,1349,1348
3,0,0,14.0,1349,1349
1,0,0,108.0,1349,1348
1,0,0,6.0,1349,1348
12,0,17,104.0,452,155
0,0,0,1.0,452,310
0,0,0,1.0,452,324
0,0,0,1.0,452,452
3,0,0,6.0,384,382
1,0,2,16.0,384,339
1,0,0,1.0,452,439
4,0,0,1.0,384,384
1,0,0,8.0,452,448
17,0,0,6.0,452,139
3,0,0,1.0,384,384
1,0,0,1.0,384,293
4,0,0,4.0,1001,1000
0,0,0,1.0,1001,1001
0,0,0,111.0,1001,161
2,0,0,1.0,1001,989
4,0,2,113.0,1001,1001
1,0,0,38.0,1001,1001
328,18,85,1723.0,1001,306
0,0,0,1.0,128,125
0,0,0,1.0,128,128
1,0,0,11.0,128,128
0,0,0,1.0,128,128
0,0,0,1.0,128,128
0,0,0,1.0,128,127
0,0,0,11.0,128,112
0,0,0,1.0,128,113
0,0,0,1.0,128,128
6,0,0,21.0,128,128
0,0,0,101.0,1523,1523
0,0,1,101.0,1087,1087
1,0,0,1.0,1087,121
1,0,1,101.0,1087,1087
0,0,6,101.0,1087,123
0,0,0,101.0,1087,142
0,0,0,101.0,1087,302
0,0,0,101.0,1087,606
1146,67,1015,4523.0,1087,119
3,0,0,101.0,1087,331
3,0,2,58.0,1087,190
58,0,3,151.0,1034,190
22,0,1,20.0,1034,135
1050,24,455,2740.0,1034,166
0,0,0,21.0,1034,958
2,0,0,1.0,1034,1020
28,0,4,79.0,1034,227
90,5,54,875.0,1366,154
2,0,0,3.0,754,754
122,1,375,747.0,1366,116
1,0,0,3.0,1034,370
54,0,10,105.0,1366,399
0,0,0,1.0,1366,1366
1,0,0,11.0,1366,1366
20,0,0,56.0,1366,1347
2,0,0,1.0,1366,1355
2,0,0,1.0,1043,1042
0,0,0,101.0,569,262
0,0,0,1.0,569,569
0,0,0,1.0,569,298
5,0,0,21.0,569,548
0,0,0,1.0,569,125
2,0,0,21.0,569,564
1,0,0,6.0,569,567
1,0,0,11.0,569,569
1,0,0,101.0,823,815
4,0,0,3.0,823,767
3,0,0,16.0,823,792
0,0,0,1.0,823,540
2,0,0,22.0,823,758
4,0,72,115.0,823,112
3,0,0,101.0,823,204
8,0,3,101.0,823,150
0,0,0,1.0,1043,1043
1,0,0,1.0,823,187
1287,3,219,3206.0,1043,113
5,0,0,21.0,633,629
13,0,1,49.0,226,113
0,0,0,1.0,746,746
1,0,2,103.0,331,211
3,0,0,1.0,759,543
0,0,0,1.0,163,138
4,0,5,135.0,163,131
1,0,0,1.0,163,163
0,0,0,1.0,163,163
0,0,0,1.0,163,113
9,0,8,66.0,605,383
0,0,0,11.0,605,605
85,0,10,199.0,759,217
4,0,0,101.0,759,618
0,0,0,1.0,759,752
2,0,0,101.0,759,584
2,0,0,6.0,759,759
0,0,0,13.0,759,759
0,0,0,101.0,759,121
0,0,0,1.0,759,759
2,0,0,26.0,117,117
0,0,0,1.0,117,117
1,0,0,1.0,117,117
0,0,0,1.0,117,116
0,0,0,1.0,117,117
0,0,0,1.0,117,117
1,0,0,17.0,117,117
2,0,0,26.0,117,116
0,0,0,1.0,117,113
0,0,0,101.0,117,117
2,0,3,108.0,1556,129
0,0,0,1.0,307,206
1,0,0,1.0,307,268
1,0,0,16.0,455,455
6,0,0,1.0,937,159
13,0,1,154.0,1338,143
0,0,0,1.0,746,746
4,0,0,101.0,1531,1448
12,0,6,123.0,1531,682
0,0,0,1.0,1549,1121
48,0,12,260.0,1549,113
0,0,0,3.0,774,770
1,0,0,1.0,774,774
4,0,0,3.0,774,755
0,0,0,1.0,774,774
7,0,0,11.0,774,644
0,0,0,101.0,1549,1549
20,0,2,118.0,1549,1548
7,0,5,123.0,1549,162
1,0,0,1.0,1549,1483
0,0,0,16.0,1549,1549
3,0,0,36.0,1549,1549
8,0,4,101.0,1549,169
16,0,0,103.0,1549,747
1,0,0,101.0,1691,1611
7,0,0,106.0,1531,1531
36,0,0,231.0,1691,1684
6909,1498,8739,50563.0,1691,111
0,0,0,101.0,1691,1691
180,2,17,573.0,1691,508
5,0,0,16.0,1691,1690
0,0,0,1.0,120,120
86,2,75,1133.0,1691,112
11,0,1,163.0,1691,202
3,0,0,1.0,1403,1086
2,0,0,101.0,1403,677
109,0,75,756.0,1403,111
0,0,0,101.0,1403,1403
0,0,0,1.0,1403,442
17,0,2,42.0,1403,744
2,0,0,3.0,1403,1403
6,0,0,121.0,1403,1157
0,0,0,1.0,405,313
8,0,0,26.0,405,368
0,0,0,6.0,405,404
0,0,0,1.0,405,405
27,2,20,514.0,405,112
3,0,0,16.0,405,230
57,0,12,138.0,1403,131
1,0,0,101.0,1403,1403
2,0,0,26.0,1642,1641
0,0,0,1.0,208,207
1,0,0,1.0,1073,264
2,0,0,1.0,444,444
19,0,3,78.0,624,119
2,0,0,13.0,624,592
0,0,1,101.0,624,624
2,0,0,36.0,1073,1073
39,0,7,90.0,624,136
1,0,0,16.0,624,624
148,24,59,1621.0,624,550
12,0,18,116.0,624,114
0,0,0,1.0,1074,132
0,0,0,1.0,624,624
6,0,0,101.0,1642,990
12,0,57,229.0,1642,151
2,0,0,101.0,537,235
21,0,12,160.0,537,296
1,0,0,11.0,537,537
15,0,0,41.0,537,532
6,0,0,1.0,537,526
0,0,0,11.0,444,225
6,0,0,22.0,537,527
1,0,0,1.0,537,388
0,0,0,101.0,537,379
0,0,0,1.0,537,529
25,0,1,509.0,814,123
5,0,4,101.0,1520,864
0,0,0,101.0,382,382
5,0,0,19.0,1090,1087
0,0,0,21.0,260,186
0,0,7,101.0,746,120
1,0,0,8.0,223,198
7,0,1,48.0,746,111
4,0,0,11.0,746,641
0,0,0,6.0,746,746
1,0,0,11.0,476,364
2,0,0,3.0,223,222
6,0,0,11.0,746,354
0,0,0,1.0,476,154
7,0,0,16.0,476,114
4,0,0,1.0,476,421
19,0,0,1.0,476,449
3,0,0,8.0,223,213
0,0,0,1.0,223,220
1,0,0,1.0,1520,541
262,9,12,1180.0,1741,646
2,0,2,101.0,1145,402
0,0,0,1.0,1520,1520
1,0,3,131.0,369,121
0,0,0,16.0,1520,1517
0,0,0,1.0,1145,1145
2,0,0,1.0,1520,1491
17,0,5,125.0,1145,178
4,0,0,6.0,452,182
3,0,0,6.0,452,435
2,0,3,118.0,1090,757
0,0,0,11.0,909,908
4,0,0,1.0,786,785
1,0,0,1.0,430,402
7,0,8,11.0,430,368
6,0,4,115.0,430,113
0,0,0,101.0,430,163
1,0,0,13.0,430,425
2,0,0,6.0,430,422
19,0,9,30.0,430,420
0,0,0,6.0,430,401
3,0,0,191.0,1415,1415
0,0,0,1.0,1415,1415
0,0,0,1.0,1415,227
77,0,7,501.0,1415,726
0,0,0,1.0,1415,164
2,0,0,101.0,1415,603
1,0,0,101.0,1415,128
2,0,0,6.0,400,400
7,0,0,186.0,400,132
5,0,0,6.0,400,308
0,0,0,1.0,237,237
0,0,0,1.0,642,642
13,0,0,1.0,400,282
11,0,3,115.0,1415,266
3,0,0,20.0,1415,758
6,0,0,30.0,1018,1018
2,0,0,16.0,806,584
2,0,0,11.0,452,451
3,0,0,16.0,1080,1073
1,0,0,1.0,287,259
0,0,0,1.0,287,250
0,0,0,1.0,287,243
5,0,0,1.0,287,286
3,0,0,3.0,287,287
2,0,0,21.0,287,206
0,0,0,1.0,287,287
0,0,0,1.0,287,286
0,0,2,101.0,1670,116
0,0,0,1.0,287,287
1,0,0,101.0,287,208
4,0,0,31.0,806,806
0,0,1,101.0,1670,278
7484,16,2921,24614.0,1670,113
2,0,0,3.0,625,624
1,0,0,1.0,446,442
0,0,0,1.0,446,299
0,0,0,1.0,177,113
0,0,0,1.0,177,177
0,0,0,1.0,625,618
6,0,1,31.0,177,118
1,0,0,1.0,177,177
7,0,0,1.0,177,177
0,0,1,101.0,546,546
1,0,0,1.0,648,647
0,0,0,1.0,648,131
15,0,7,120.0,648,297
9,0,0,21.0,648,644
4,0,2,15.0,648,263
1,0,0,6.0,648,647
2,0,0,1.0,648,330
1,0,0,6.0,236,236
0,0,0,1.0,177,177
0,0,0,1.0,236,235
0,0,0,101.0,236,181
6,0,0,101.0,648,164
0,0,0,1.0,648,625
0,0,0,101.0,236,235
1,0,0,1.0,236,235
0,0,0,16.0,177,176
5,0,0,1.0,282,282
0,0,0,1.0,282,282
0,0,0,1.0,282,282
1,0,0,1.0,282,282
0,0,0,1.0,282,282
3,0,2,103.0,282,227
0,0,0,1.0,282,128
0,0,0,1.0,282,254
0,0,0,1.0,282,119
1,0,0,1.0,282,282
8,0,0,128.0,890,416
0,0,0,101.0,339,339
1,0,0,1.0,339,166
2,0,0,46.0,339,310
0,0,0,1.0,339,167
0,0,0,1.0,339,270
0,0,0,1.0,339,297
1,0,0,8.0,339,339
1,0,0,11.0,339,123
5,0,3,26.0,628,185
1,0,0,1.0,628,628
6,0,0,1.0,628,599
6,0,0,13.0,721,293
0,0,0,101.0,628,331
7,0,0,16.0,628,564
2,0,0,11.0,628,627
0,0,0,1.0,628,628
0,0,0,1.0,628,618
0,0,0,21.0,471,471
5,0,0,11.0,471,471
3,0,0,11.0,471,471
4,0,0,1.0,471,471
1,0,0,1.0,471,114
9,0,0,11.0,471,253
25,0,0,41.0,1808,1456
30,0,1,178.0,1808,162
30,0,4,94.0,471,214
51,1,15,379.0,1808,290
6,0,28,101.0,1808,121
2,0,0,18.0,336,336
14,0,0,108.0,1198,1196
1,0,0,1.0,336,113
0,0,0,1.0,336,308
1,0,0,13.0,336,336
12,0,2,48.0,336,253
0,0,0,1.0,336,336
13,0,0,21.0,1198,1129
34,0,90,341.0,1198,132
2,0,0,48.0,1198,981
1,0,1,28.0,1198,771
168,38,279,2491.0,1198,111
2,0,3,101.0,1198,139
6,0,5,18.0,1198,393
3,0,0,51.0,1198,1198
1,0,0,6.0,1491,1491
1,0,0,6.0,1491,1479
2,0,0,18.0,1491,1489
58,0,0,68.0,1491,1409
3,0,2,105.0,1491,330
4,0,1,101.0,1491,391
18,0,0,9.0,1491,1491
2,0,0,31.0,1491,1489
1,0,0,101.0,1491,700
0,0,0,1.0,182,181
23,0,32,188.0,182,111
8,0,0,1.0,182,112
0,0,0,1.0,182,182
0,0,0,1.0,182,120
7,0,0,1.0,182,182
0,0,0,1.0,182,173
0,0,0,1.0,182,181
7,0,0,58.0,982,754
0,0,0,1.0,182,182
9,0,2,13.0,182,165
0,0,8,22.0,153,111
5,0,0,106.0,153,127
0,0,0,1.0,153,117
2,0,0,1.0,153,153
6,0,0,11.0,153,153
0,0,0,4.0,153,150
0,0,0,1.0,153,153
7,0,13,95.0,153,115
0,0,0,101.0,450,226
0,0,0,10.0,450,429
3,0,0,1.0,153,153
1,0,0,1.0,450,429
13,0,6,61.0,450,225
0,0,0,101.0,450,156
0,0,1,101.0,450,170
2,0,0,3.0,450,447
60,0,63,564.0,692,241
1,0,0,1.0,678,678
11,0,4,136.0,678,136
11,0,0,101.0,1870,1557
0,0,0,6.0,131,128
3,0,0,11.0,678,640
0,0,0,4.0,678,678
0,0,0,1.0,678,126
1,0,0,1.0,678,674
0,0,0,1.0,678,318
0,0,0,1.0,678,678
8,0,1,26.0,678,629
2,0,4,228.0,1589,475
0,0,2,101.0,982,421
178,7,68,1688.0,894,165
5,0,2,28.0,894,826
1,0,0,1.0,894,892
1,0,0,14.0,894,894
0,0,1,101.0,894,117
2,0,0,26.0,894,894
4,0,0,3.0,894,556
68,8,985,1477.0,894,112
3,0,0,6.0,894,894
5,0,0,6.0,455,431
1,0,0,3.0,455,449
11,0,0,1.0,455,315
0,0,0,1.0,455,450
0,0,0,1.0,455,443
0,0,0,1.0,455,219
6,0,5,259.0,455,218
4,0,0,1.0,455,455
74,0,1,197.0,1331,598
19,0,0,1.0,1144,277
0,0,0,1.0,1144,523
0,0,0,1.0,1144,1144
5,0,0,21.0,1144,1144
157,2,95,591.0,1144,161
0,0,0,6.0,1144,1144
49,0,2,107.0,1144,783
1,0,0,113.0,1144,1096
0,0,0,1.0,254,226
0,0,0,1.0,254,254
1,0,0,1.0,197,197
5,0,0,6.0,811,811
0,0,0,1.0,254,253
1,0,0,1.0,254,253
2,0,0,1.0,254,241
2,0,0,3.0,254,170
0,0,0,1.0,254,253
3,0,2,34.0,254,204
0,0,0,101.0,197,129
0,0,0,1.0,197,192
0,0,0,1.0,303,204
7,0,1,32.0,303,203
0,0,0,101.0,303,303
3,0,0,31.0,303,302
0,0,0,1.0,303,302
16,0,12,16.0,303,114
0,0,0,1.0,550,223
0,0,0,1.0,692,678
8,0,2,55.0,692,378
1,0,0,13.0,1009,1009
61,0,30,138.0,550,135
10,0,2,23.0,692,651
1,0,0,1.0,692,370
0,0,0,1.0,550,542
0,0,0,1.0,692,691
0,0,0,1.0,550,550
36,0,17,105.0,692,532
8,0,0,10.0,692,592
7,0,0,1.0,117,114
39,0,6,96.0,532,371
0,0,0,1.0,117,117
1,0,0,11.0,117,113
1,0,0,23.0,532,501
0,0,0,6.0,532,519
0,0,0,31.0,532,532
1,0,0,21.0,201,201
1,0,0,1.0,201,201
5,0,2,57.0,201,116
1,0,0,1.0,532,531
5,0,3,29.0,532,351
1,0,0,1.0,201,143
27,0,0,1.0,201,200
0,0,0,8.0,201,201
2,0,0,1.0,201,201
0,0,0,101.0,850,834
0,0,0,101.0,850,849
0,0,0,1.0,850,850
1,0,1,23.0,850,831
5,0,2,120.0,850,115
43,0,8,356.0,850,112
0,0,1,101.0,850,606
0,0,0,1.0,850,850
3,0,0,11.0,850,114
27,0,42,258.0,850,129
5,0,1,106.0,1785,656
0,0,0,101.0,1785,1142
44,0,12,287.0,1785,112
8,0,3,113.0,1785,1073
1,0,8,101.0,1785,163
2,0,0,101.0,1785,1428
3,0,9,56.0,687,187
1,0,0,11.0,687,633
1,0,0,62.0,1156,1086
0,0,0,1.0,203,191
0,0,3,101.0,687,222
9,0,0,15.0,687,143
3,0,0,101.0,687,684
1,0,0,11.0,687,687
27,0,0,10.0,203,180
1,0,0,1.0,687,676
0,0,0,6.0,687,686
0,0,0,11.0,559,559
10,0,10,119.0,559,112
10,0,0,26.0,1458,1457
4,0,3,22.0,559,556
3,0,0,1.0,559,482
3,0,1,101.0,1458,562
0,0,0,1.0,161,161
5,0,0,11.0,1458,308
3,0,0,16.0,1458,1310
13,0,0,21.0,1458,1448
415,5,176,4863.0,559,111
97,0,0,608.0,1458,1274
2,0,0,18.0,1458,1457
1,0,0,1.0,577,576
0,0,0,1.0,577,572
0,0,0,1.0,577,470
6,0,1,26.0,577,384
0,0,0,1.0,577,551
3,0,2,58.0,577,556
2,0,0,101.0,577,577
77,0,120,1166.0,1891,112
0,0,0,1.0,577,577
2,0,3,51.0,577,193
0,0,0,8.0,1541,1541
2,0,0,21.0,1541,123
2,0,0,101.0,1578,268
5,0,0,8.0,1541,1541
0,0,0,101.0,517,125
0,0,7,101.0,517,117
2203,50,1126,18864.0,517,111
2,0,0,11.0,517,147
0,0,0,101.0,517,141
0,0,0,1.0,517,517
26,0,0,1.0,517,168
2,0,0,13.0,1010,142
0,0,0,101.0,517,350
3,0,0,6.0,1094,111
0,0,0,6.0,513,512
0,0,0,1.0,513,444
132,2,37,530.0,1541,165
0,0,0,1.0,513,498
0,0,8,101.0,513,179
11,0,0,37.0,1094,1079
5,0,0,35.0,513,481
4,0,3,103.0,513,112
1,0,1,106.0,1757,340
17,0,4,155.0,733,133
5,0,0,3.0,363,362
3,0,0,8.0,363,363
3,0,0,8.0,363,244
15,0,8,36.0,363,177
4,0,0,11.0,363,303
2,0,0,21.0,363,113
0,0,0,1.0,363,361
0,0,0,11.0,363,363
4,0,0,28.0,363,362
52,0,33,158.0,446,141
5,0,0,1.0,392,390
0,0,0,1.0,446,443
0,0,0,26.0,446,444
0,0,0,3.0,392,380
3,0,0,1.0,446,418
0,0,1,101.0,446,241
25,0,18,39.0,446,111
7,0,1,101.0,392,302
0,0,0,1.0,446,446
0,0,0,101.0,858,305
82,0,23,138.0,553,310
1,0,0,1.0,1326,1324
0,0,0,1.0,1326,1326
88,5,59,1488.0,563,111
101,18,283,1389.0,563,112
0,0,0,1.0,563,119
1,0,0,16.0,563,558
38,0,8,196.0,563,115
3,0,0,6.0,1326,1325
19,0,36,128.0,1326,228
3,0,0,1.0,1326,528
0,0,0,1.0,1326,1323
0,0,0,1.0,563,533
2,0,0,101.0,1326,1326
240,8,632,3888.0,1326,111
1,0,0,101.0,1326,119
0,0,0,1.0,248,153
0,0,0,1.0,404,272
0,0,0,1.0,404,268
0,0,0,13.0,404,330
2,0,0,21.0,404,403
9,0,0,23.0,404,401
1,0,0,6.0,404,404
4,0,0,2.0,404,404
2,0,0,6.0,535,529
0,0,0,1.0,535,112
0,0,0,1.0,535,386
3,0,0,6.0,535,513
43,0,49,64.0,535,193
0,0,0,1.0,535,535
1,0,0,16.0,592,592
3,0,0,101.0,535,535
14,0,1,15.0,535,499
133,0,30,109.0,384,111
1,0,0,1.0,384,384
3,0,0,3.0,384,384
22,0,3,51.0,384,357
0,0,0,1.0,384,383
0,0,0,1.0,384,320
0,0,0,11.0,384,346
1,0,0,1.0,384,383
46,0,3,73.0,384,299
0,0,1,101.0,479,479
1,0,0,1.0,479,464
16,0,0,41.0,1338,1332
0,0,0,1.0,479,355
0,0,0,1.0,921,921
0,0,0,6.0,921,921
6,0,4,101.0,921,115
1,0,0,1.0,921,392
3,0,0,4.0,1052,1051
1,0,0,18.0,1052,215
263,1,165,2163.0,1338,111
8,0,4,50.0,1052,928
2,0,2,101.0,921,120
2,0,0,106.0,1338,1334
0,0,0,3.0,1338,1338
11,0,0,9.0,479,479
0,0,0,6.0,220,220
4,0,0,131.0,220,187
90,0,15,683.0,1646,149
3,0,0,21.0,1646,1646
1,0,0,21.0,367,367
1,0,0,1.0,367,358
16,0,0,116.0,1612,1607
7,0,0,106.0,367,367
1,0,0,6.0,367,367
0,0,0,1.0,367,254
2,0,0,1.0,220,217
3,0,0,31.0,1646,1646
10,0,0,101.0,1612,1495
0,0,0,1.0,881,881
9,0,4,125.0,1612,1194
6,0,2,43.0,1612,948
8,0,3,113.0,1408,306
3,0,0,11.0,1408,1402
19,1,37,246.0,1408,178
7,0,0,151.0,1408,261
0,0,1,101.0,1408,635
0,0,0,26.0,1408,1407
10,0,2,101.0,1408,1394
10,0,0,8.0,1408,1402
6,0,0,111.0,1408,369
0,0,6,101.0,1047,149
0,0,0,1.0,1047,607
0,0,0,1.0,1047,150
3,0,0,13.0,1047,1038
1,0,0,1.0,1047,289
3,0,5,20.0,1047,879
2,0,0,11.0,1047,1044
9,0,0,76.0,1047,1047
0,0,4,108.0,1047,122
2,0,0,1.0,1047,543
0,0,0,1.0,544,149
0,0,0,11.0,720,720
8,0,0,118.0,720,123
5,0,0,1.0,371,139
0,0,3,101.0,720,155
11,0,0,26.0,720,668
21,0,5,116.0,720,137
47,2,23,188.0,720,140
7,0,0,6.0,371,371
2,0,0,11.0,371,371
0,0,0,1.0,371,371
27,0,10,111.0,754,357
0,0,6,101.0,754,212
0,0,0,1.0,754,754
0,0,0,1.0,754,754
1,0,0,11.0,754,526
0,0,0,3.0,754,754
1,0,0,8.0,754,754
2,0,0,1.0,754,211
11,0,0,13.0,1280,579
0,0,0,1.0,133,133
0,0,0,1.0,133,124
8,0,4,118.0,592,178
18,0,0,25.0,497,323
1,0,0,8.0,220,199
0,0,0,1.0,161,133
1,0,0,8.0,248,242
0,0,0,1.0,248,230
0,0,0,1.0,248,248
0,0,0,1.0,248,164
0,0,0,1.0,248,213
0,0,0,1.0,248,248
30,29,52,790.0,248,113
1,0,0,1.0,248,201
0,0,0,1.0,248,248
1,0,0,1.0,248,232
13,0,15,138.0,722,160
4,0,0,1.0,497,490
0,0,1,101.0,609,123
0,0,0,1.0,881,881
0,0,0,1.0,161,160
4,0,0,108.0,1033,316
10,0,0,11.0,1033,1022
8,0,0,11.0,295,286
35,0,0,4.0,881,878
1,0,0,1.0,295,273
1417,0,233,14359.0,1033,511
2,0,0,1.0,788,157
0,0,0,1.0,664,664
0,0,0,1.0,295,256
5,0,0,31.0,1033,546
0,0,0,1.0,788,788
0,0,0,14.0,295,289
1,0,3,101.0,295,114
121,0,6,113.0,788,561
7,0,0,103.0,788,483
0,0,0,1.0,118,112
2,0,0,11.0,609,609
2,0,0,1.0,491,491
2,0,0,9.0,491,491
3,0,0,6.0,409,408
2,0,0,1.0,409,409
0,0,0,101.0,491,491
2,0,0,1.0,491,491
0,0,0,1.0,232,232
0,0,0,1.0,491,491
7,0,0,25.0,232,209
0,0,3,111.0,232,229
3,0,0,6.0,490,490
64,0,11,120.0,490,459
0,0,0,1.0,118,116
67,0,30,244.0,881,112
88,2,78,393.0,1496,144
2,0,0,101.0,1496,307
38,0,0,16.0,1496,1496
1,0,0,8.0,1496,1496
1,0,0,101.0,1496,875
21,0,0,46.0,1496,590
7,0,0,26.0,1496,1496
5,0,0,6.0,1496,115
9,0,1,111.0,1496,369
0,0,0,6.0,1496,1496
0,0,0,1.0,1198,1193
2,0,0,101.0,1198,607
2,0,0,101.0,1198,805
2,0,1,101.0,1198,771
1,0,10,101.0,1198,267
1,0,0,6.0,1198,1188
5,0,38,23.0,1198,1188
11,0,10,151.0,1198,122
13,0,2,130.0,1198,150
3,0,1,23.0,1198,527
1,0,0,6.0,617,616
0,0,0,1.0,349,347
0,0,0,1.0,349,347
0,0,0,1.0,349,165
0,0,0,1.0,349,151
4,0,0,1.0,349,191
3,0,6,25.0,349,129
63,1,3,323.0,987,151
2,0,0,61.0,588,588
4,0,0,108.0,378,377
2,0,0,1.0,932,932
10,0,5,27.0,378,304
2,0,0,12.0,378,164
0,0,0,1.0,896,896
18,0,19,135.0,896,112
61,16,161,325.0,896,112
16,0,86,117.0,896,199
30,0,16,358.0,896,485
0,0,2,101.0,896,126
2,0,0,101.0,896,115
14,0,1,319.0,896,507
0,0,0,3.0,482,116
1,0,0,31.0,482,130
15,0,0,1.0,482,431
272,34,1060,4523.0,531,112
3,0,0,13.0,482,131
2,0,0,1.0,482,465
0,0,0,1.0,482,409
1,0,0,33.0,228,122
0,0,2,101.0,228,226
0,0,0,1.0,228,223
8,0,2,46.0,228,192
2,0,0,3.0,228,228
1,0,0,6.0,228,206
0,0,0,1.0,228,142
0,0,0,6.0,228,201
4,0,0,11.0,228,226
31,0,32,108.0,1133,161
11,0,0,18.0,1004,1003
